Area,Model,"RMSE (weekdays, Dec 16-19)","RMSE (weekend, Dec 20-22)",Degradation (%)
5161,SARIMA,169.70737107281454,153.2752059022689,-9.682646703362847
5161,GRU,131.60055093208823,145.25208065802718,10.37345940366447
5161,LightGBM,146.76670167685467,154.90349341078706,5.5440312011969
5059,SARIMA,131.65795787979818,130.12581982628296,-1.163726126539219
5059,GRU,105.49978692727633,113.21854847888018,7.3163764367833135
5059,LightGBM,123.49754447895849,119.7598176890244,-3.026559601410472
5259,SARIMA,127.28432387822635,108.48855357619489,-14.766759746481807
5259,GRU,117.86175897544712,83.80854301117378,-28.89250615321911
5259,LightGBM,117.05428940459052,87.17924601061641,-25.522382431209305
