num_leaves,learning_rate,best_iteration,val_RMSE
15,0.1,48,185.3897520267433
15,0.05,100,185.5823880216226
15,0.01,458,186.97302666984723
31,0.01,461,187.32528210999166
31,0.05,96,187.33526881758803
63,0.1,39,187.38581920330444
63,0.01,407,187.95461876592395
31,0.1,39,188.9089726048899
63,0.05,91,189.0997243349739
