Model,MAE,MAPE,RMSE,MASE
SARIMA,85.1945388574859,11.612422132846358,119.59126532348996,0.16308372071455127
GRU,75.19357667982601,9.286523727412357,104.63350498635897,0.14393937009617871
LightGBM,74.81411363346015,9.144418241022615,105.29379948980394,0.14321298262692386
